index	name	offset	size	crc32	in_bounds
0	E1M1	12	0		yes
1	THINGS	12	2920	4c5c9f4e	yes
2	LINEDEFS	2932	16450	eecaa838	yes
3	SIDEDEFS	19384	54870	a26715ff	yes
4	VERTEXES	74256	4784	fef7743d	yes
5	SEGS	79040	24684	3d379100	yes
6	SSECTORS	103724	2728	d4b7b0e3	yes
7	NODES	106452	19068	fba76d0b	yes
8	SECTORS	125520	4732	c174d1fb	yes
9	REJECT	130252	4141	22ba84e0	yes
10	BLOCKMAP	134396	7528	5dc0ea3b	yes
11	E1M2	141924	0		yes
12	THINGS	141924	3560	2573371a	yes
13	LINEDEFS	145484	32060	3da30528	yes
14	SIDEDEFS	177544	98880	e2d97095	yes
15	VERTEXES	276424	8924	30c3655d	yes
16	SEGS	285348	43800	15782739	yes
17	SSECTORS	329148	4416	648f8171	yes
18	NODES	333564	30884	48975048	yes
19	SECTORS	364448	9880	c97a4fe8	yes
20	REJECT	374328	18050	3191a752	yes
21	BLOCKMAP	392380	10776	036aa38e	yes
22	E1M3	403156	0		yes
23	THINGS	403156	3820	0d8a76ef	yes
24	LINEDEFS	406976	30366	b10cba00	yes
25	SIDEDEFS	437344	84660	e7ecdbfa	yes
26	VERTEXES	522004	7904	95faf012	yes
27	SEGS	529908	35772	ae880cde	yes
28	SSECTORS	565680	3284	3722f73d	yes
29	NODES	568964	22960	026dc04c	yes
30	SECTORS	591924	8580	46fee121	yes
31	REJECT	600504	13613	72da1571	yes
32	BLOCKMAP	614120	9818	2880cd32	yes
33	E1M4	623940	0		yes
34	THINGS	623940	3780	0c1927d5	yes
35	LINEDEFS	627720	31962	66733a27	yes
36	SIDEDEFS	659684	96330	3310589b	yes
37	VERTEXES	756016	9080	75109d9d	yes
38	SEGS	765096	42024	4523738b	yes
39	SSECTORS	807120	4808	7f6e2a20	yes
40	NODES	811928	33628	dd98e748	yes
41	SECTORS	845556	7124	f393d4a9	yes
42	REJECT	852680	9385	ed91b2c7	yes
43	BLOCKMAP	862068	14210	85d64c65	yes
44	E1M5	876280	0		yes
45	THINGS	876280	3640	1efeeae7	yes
46	LINEDEFS	879920	17010	f0509b63	yes
47	SIDEDEFS	896932	54930	22ea5162	yes
48	VERTEXES	951864	4328	e8fae925	yes
49	SEGS	956192	23196	ce0ab1a9	yes
50	SSECTORS	979388	2004	bf98c4d6	yes
51	NODES	981392	14000	a7a9cbf7	yes
52	SECTORS	995392	5564	7f20849b	yes
53	REJECT	1000956	5725	b6fae37c	yes
54	BLOCKMAP	1006684	8916	54b32e3a	yes
55	E1M6	1015600	0		yes
56	THINGS	1015600	4900	d2c0165f	yes
57	LINEDEFS	1020500	39452	0536ce62	yes
58	SIDEDEFS	1059952	119160	643d4258	yes
59	VERTEXES	1179112	11040	4fd17416	yes
60	SEGS	1190152	52908	fd1de4e0	yes
61	SSECTORS	1243060	5592	4ac8c08a	yes
62	NODES	1248652	39116	bff9845f	yes
63	SECTORS	1287768	10270	33fef52a	yes
64	REJECT	1298040	19504	b45c1e8f	yes
65	BLOCKMAP	1317544	14508	3af95a20	yes
66	E1M7	1332052	0		yes
67	THINGS	1332052	7140	a3c7f805	yes
68	LINEDEFS	1339192	60718	b823ae05	yes
69	SIDEDEFS	1399912	187590	db6fca05	yes
70	VERTEXES	1587504	16868	5174042a	yes
71	SEGS	1604372	83364	09c72ca4	yes
72	SSECTORS	1687736	8256	49c577eb	yes
73	NODES	1695992	57764	71e0f39a	yes
74	SECTORS	1753756	18174	ec6d6504	yes
75	REJECT	1771932	61076	6f09018e	yes
76	BLOCKMAP	1833008	21256	d2eddc21	yes
77	E1M8	1854264	0		yes
78	THINGS	1854264	1230	6d26f891	yes
79	LINEDEFS	1855496	13020	352fe364	yes
80	SIDEDEFS	1868516	43380	26bf33f3	yes
